51,swetha,female,9100829945,swetha@gmail.com,telugu
63,arjun,female,9100829945,arjun@gmail.com,"telugu,hindi"
66,ravi,male,9100829945,ravi@gmail.com,"english,telugu"
67,chiruvallika,female,9100829945,chiru@gmail.com,telugu
68,chiru,male,1234567890,chiruk@gmail.com,telugu
69,kavya,female,9100829945,kavya@gmail.com,telugu
70,chiruvallika,female,9100829945,chiruk@gmail.com,telugu
79,latha,female,1234567890,latha@gmail.com,english
81,chiru,male,9100829945,chiruk@gmail.com,telugu
84,amulya,male,9100829945,amulya@gmail.com,telugu
86,chiruvallika,male,9100829945,chiru@gmail.com,telugu
87,chiruvallika,male,9100829945,chiru@gmail.com,telugu
88,chiruvallika,male,9100829945,chiru@gmail.com,telugu
